trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5, 'e': 0.7147372386831305}",20,10,-50.99476268208926,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.7111635524897149}",30,0,-87.16287925229864,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.7076077347272662}",20,8,-39.553360768460855,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.7040696960536299}",20,14,9.774753227933086,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.7005493475733617}",30,0,-68.87853397062389,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.697046600835495}",20,1,-6.574500283811977,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6935613678313175}",25,12,-92.61229727969138,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.6900935609921609}",20,0,-49.78647520720533,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.6866430931872001}",20,5,-43.30133690036495,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.6832098777212641}",25,0,-94.30687852670555,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.6797938283326578}",25,0,-45.292051938708646,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.6763948591909945}",20,5,-16.94060716353753,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.6730128848950395}",25,0,-63.97277677024977,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.6696478204705644}",20,14,11.829314186810947,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.6662995813682115}",20,4,-32.53277153413622,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.6629680834613705}",20,0,-59.64215553103511,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.6596532430440636}",20,0,-183.77381476383403,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
84,False,"{'a': 0.5, 'e': 0.6563549768288433}",20,0,-65.71109486690392,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.653073201944699}",25,0,-28.1749043095922,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.6498078359349755}",20,0,-108.20958595132215,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.6465587967553006}",35,1,-57.137335988488104,"{0: 27, 1: 3, 2: 2, 3: 1, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.6433260027715241}",30,0,-98.07843685223128,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.6401093727576664}",20,0,-87.68241497896756,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.6369088258938781}",20,0,-42.139454271035405,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.6337242817644086}",20,0,-61.85353404219769,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.6305556603555866}",25,0,-52.73532111518986,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.6274028820538087}",20,0,-132.47678649611478,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.6242658676435396}",20,0,-21.337920455927087,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.6211445383053219}",20,3,1.847894915446625,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.6180388156137953}",30,9,-39.324171371904086,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.6149486215357263}",20,1,-59.566842164982745,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.6118738784280476}",20,11,16.81740525305132,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.6088145090359074}",20,7,-2.4211615518054987,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.6057704364907278}",25,9,-16.15739229456866,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.6027415843082742}",25,4,-16.135488919436494,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.5997278763867329}",20,6,-49.16606270601283,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.5967292370047992}",20,0,-17.877521347396193,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.5937455908197752}",25,0,-19.11305861069045,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.5907768628656763}",25,8,-162.9422597308105,"{0: 8, 1: 1, 2: 3, 3: 3, 4: 2}",1
106,False,"{'a': 0.5, 'e': 0.5878229785513479}",25,2,-85.42862196424552,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.5848838636585911}",20,0,-57.555907802108464,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.5819594443402982}",30,4,-17.854858727847535,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.5790496471185967}",25,3,-33.598108090712934,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.5761543988830038}",20,5,-8.303374417055629,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.5732736268885887}",20,6,10.067951802404963,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.5704072587541458}",20,0,-45.248994429699394,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.567555222460375}",25,0,-10.102944098603095,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.5647174463480732}",20,2,-67.86792110807535,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
115,False,"{'a': 0.5, 'e': 0.5618938591163328}",20,14,9.716758272335047,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.5590843898207511}",25,5,-88.35770088731891,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
117,False,"{'a': 0.5, 'e': 0.5562889678716474}",25,0,-63.960773973649815,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.5535075230322891}",20,0,18.15415873640195,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.5507399854171277}",20,11,-20.44631451243166,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.547986285490042}",20,3,15.468098133838293,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.5452463540625918}",20,0,-1.51573473637884,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
